Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Ichigo Mashimaro,"Comedy,Slice of Life",1247,1890,7.64,12,24 min. per ep.,Summer 2005
Ushio to Tora (TV),"Action,Adventure,Comedy,Supernatural",1397,942,7.58,26,24 min. per ep.,Summer 2015
To LOVE-Ru Darkness 2nd Specials,"Comedy,Romance,Sci-Fi,Ecchi",1395,1902,7.58,2,23 min. per ep.,
Ruru-chan no Jisatsu Haishin,,1295,9381,7.62,1,4 min.,
Minami-ke Okaeri,"Comedy,Slice of Life",1450,2310,7.56,13,24 min. per ep.,Winter 2009
Yowamushi Pedal Movie,,1400,3594,7.58,1,1 hr. 29 min.,
Yama no Susume Third Season,"Adventure,Comedy,Slice of Life",1448,4151,7.57,13,13 min. per ep.,Summer 2018
Uchuu Senkan Yamato,"Action,Adventure,Drama,Sci-Fi",1396,3814,7.58,26,25 min. per ep.,Fall 1974
Kaitou Saint Tail,"Adventure,Romance",1499,4382,7.55,43,22 min. per ep.,Fall 1995
"Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",,1500,3614,7.55,1,26 min.,
World Trigger,"Action,Sci-Fi,Supernatural",1398,511,7.58,73,23 min. per ep.,Fall 2014
Tensura Nikki: Tensei shitara Slime Datta Ken,"Comedy,Fantasy,Slice of Life",1447,751,7.57,12,23 min. per ep.,Spring 2021
InuYasha Movie 4: Guren no Houraijima,"Action,Adventure,Comedy,Drama,Fantasy,Romance,Supernatural",1497,1927,7.55,1,1 hr. 27 min.,
Heya Camp△: Sauna to Gohan to Sanrin Bike,"Comedy,Slice of Life",1496,4703,7.55,1,11 min.,
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,"Adventure,Comedy,Fantasy,Sci-Fi",1492,1834,7.55,1,47 min.,
Jigoku Sensei Nube,"Adventure,Comedy,Horror,Romance,Supernatural",1498,4386,7.55,49,24 min. per ep.,Spring 1996
Date A Bullet: Dead or Bullet,"Action,Sci-Fi",1490,1922,7.55,1,24 min.,
Genshiken OVA,"Comedy,Slice of Life",1243,2694,7.64,3,24 min. per ep.,
Aikatsu Stars!,,1487,4453,7.55,100,24 min. per ep.,Spring 2016
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,"Comedy,Sci-Fi",1489,1393,7.55,1,23 min.,
Aa! Megami-sama! Movie,"Comedy,Romance,Supernatural",1486,2961,7.55,1,1 hr. 46 min.,
Kara no Kyoukai Remix: Gate of Seventh Heaven,"Action,Mystery,Romance,Suspense",1485,2808,7.56,1,1 hr. 1 min.,
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,,1488,3074,7.55,1,1 hr.,
Ginga Tetsudou 999 (Movie),"Adventure,Drama,Fantasy,Sci-Fi",1495,4425,7.55,1,2 hr. 8 min.,
Giant Killing,"Drama,Sports",1494,2285,7.55,26,24 min. per ep.,Spring 2010
Fugou Keiji: Balance:Unlimited,"Comedy,Mystery",1548,525,7.54,11,23 min. per ep.,Spring 2020
Doraemon Movie 07: Nobita to Tetsujin Heidan,"Adventure,Comedy,Fantasy",1491,6461,7.55,1,1 hr. 40 min.,
Densetsu no Yuusha no Densetsu,"Action,Adventure,Fantasy",1546,711,7.54,24,24 min. per ep.,Summer 2010
Candy Candy,"Drama,Slice of Life",1545,3655,7.54,115,25 min. per ep.,Fall 1976
Hataraku Saibou Black (TV),"Action,Drama",1550,1001,7.54,13,23 min. per ep.,Winter 2021
Durarara!!x2 Ten: Onoroke Chakapoko,"Action,Mystery,Supernatural",1547,2672,7.54,1,24 min.,
Afro Samurai Movie,"Action,Adventure",1542,2396,7.54,1,1 hr. 56 min.,
Yamada-kun to 7-nin no Majo (TV),"Comedy,Mystery,Romance,Supernatural",1449,225,7.57,12,24 min. per ep.,Spring 2015
Aa! Megami-sama! (TV) Specials,"Comedy,Romance,Supernatural",1600,3721,7.52,3,24 min. per ep.,
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,"Drama,Fantasy,Slice of Life",1541,4876,7.54,1,48 min.,
Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,,1544,3091,7.54,1,9 min.,
Fairy Tail: Final Series,"Action,Adventure,Fantasy",1493,420,7.55,51,23 min. per ep.,Fall 2018
Baka to Test to Shoukanjuu,"Comedy,Romance",1543,287,7.54,13,24 min. per ep.,Winter 2010
Oban Star-Racers,"Adventure,Sci-Fi",1650,2727,7.50,26,25 min. per ep.,Spring 2006
Minami-ke Betsubara,"Comedy,Slice of Life",1649,3563,7.50,1,25 min.,
Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa Seishun,,1549,3366,7.54,1,23 min.,
Zombieland Saga,"Comedy,Supernatural",1647,424,7.51,12,23 min. per ep.,Fall 2018
"Yondemasu yo, Azazel-san. (TV)","Comedy,Supernatural",1599,2150,7.52,13,12 min. per ep.,Spring 2011
Wakaokami wa Shougakusei! Movie,"Comedy,Slice of Life,Supernatural",1645,4660,7.51,1,1 hr. 34 min.,
Towa no Quon 5: Souzetsu no Raifuku,"Action,Sci-Fi,Supernatural",1644,3308,7.51,1,48 min.,
Yaoguai Mingdan 2nd Season,"Action,Comedy,Fantasy,Romance",1646,6003,7.51,21,16 min. per ep.,
Shiroi Suna no Aquatope,"Drama,Slice of Life",1643,1321,7.51,24,23 min. per ep.,Summer 2021
Ningen Shikkaku: Director's Cut-ban,,1596,5544,7.52,1,1 hr. 29 min.,
High School DxD New,"Action,Comedy,Romance,Ecchi",1698,164,7.49,12,26 min. per ep.,Summer 2013
